Date,Open,High,Low,Close,Volume
02/01/2015,14.86,14.88,14.22,14.62,71466000
05/01/2015,14.30,14.43,13.81,14.01,80527500
06/01/2015,14.00,14.28,13.61,14.09,93928500
07/01/2015,14.22,14.32,13.99,14.06,44526000
08/01/2015,14.19,14.25,14.00,14.04,51637500
09/01/2015,13.93,14.00,13.66,13.78,70024500
12/01/2015,13.54,13.63,13.28,13.48,89254500
13/01/2015,13.55,13.84,13.39,13.62,67159500
14/01/2015,12.39,13.01,12.33,12.85,173278500
15/01/2015,12.97,13.05,12.67,12.79,78247500
16/01/2015,12.71,12.97,12.64,12.87,54048000
20/01/2015,12.92,12.94,12.47,12.80,67548000
21/01/2015,12.64,13.25,12.63,13.10,62295000
22/01/2015,13.13,13.55,13.01,13.44,61753500
23/01/2015,13.35,13.57,13.22,13.42,51579000
26/01/2015,13.46,13.91,13.40,13.77,48517500
27/01/2015,13.63,13.87,13.55,13.73,41715000
28/01/2015,13.74,13.76,13.23,13.29,47244000
29/01/2015,13.40,13.73,13.10,13.68,53221500
30/01/2015,13.60,13.83,13.53,13.57,45105000
02/02/2015,13.60,14.13,13.55,14.06,62238000
03/02/2015,14.21,14.69,14.08,14.56,72393000
04/02/2015,14.55,14.77,14.45,14.57,49581000
05/02/2015,14.66,15.03,14.64,14.73,52843500
06/02/2015,14.80,14.89,14.43,14.49,48658500
09/02/2015,14.36,14.53,14.13,14.50,52086000
10/02/2015,14.50,14.70,14.33,14.42,80857500
11/02/2015,14.15,14.32,13.82,14.19,146536500
12/02/2015,12.90,13.54,12.89,13.53,234744000
13/02/2015,13.53,13.73,13.39,13.58,92865000
17/02/2015,13.71,13.71,13.43,13.62,59694000
18/02/2015,13.61,13.74,13.51,13.63,40704000
19/02/2015,13.67,14.16,13.58,14.11,77311500
20/02/2015,14.05,14.51,13.99,14.47,89731500
23/02/2015,14.38,14.55,13.76,13.82,127497000
24/02/2015,13.82,13.82,13.45,13.61,99054000
25/02/2015,13.66,13.81,13.51,13.58,58642500
26/02/2015,13.60,14.07,13.48,13.81,97093500
27/02/2015,13.79,13.90,13.52,13.56,58231500
02/03/2015,13.51,13.56,13.06,13.16,118831500
03/03/2015,13.12,13.35,13.02,13.30,66484500
04/03/2015,13.28,13.50,13.15,13.50,63330000
05/03/2015,13.52,13.75,13.34,13.38,73155000
